time,region,pre,tmx
1903-11-16,Sool,7.6,29.541666
1903-11-16,Togdheer,8.97,28.24
1903-11-16,Woqooyi Galbeed,2.2600002,28.77
1903-12-16,Awdal,5.3,29.25
1903-12-16,Bakool,11.4875,32.65
1903-12-16,Bari,3.7791665,28.391668
1903-12-16,Bay,12.071428,32.67857
1903-12-16,Galgaduud,10.841178,32.37059
1903-12-16,Gedo,14.042857,33.764286
1903-12-16,Hiraan,12.654547,32.79091
1903-12-16,Lower Juba,1.4176472,33.21176
1903-12-16,Lower Shabelle,14.26,32.4
1903-12-16,Middle Juba,3.0400002,33.3
1903-12-16,Middle Shabelle,21.539999,32.04
1903-12-16,Mudug,10.152942,31.470589
