time,admin1,tmx,pre
1903-08,Bay,30.84286,12.528572
1903-08,Galgaduud,31.935295,2.8235295
1903-08,Gedo,32.278572,3.3071427
1903-08,Hiraan,31.618181,5.572727
1903-08,Lower Juba,30.764706,20.141178
1903-08,Lower Shabelle,30.429998,24.1
1903-08,Middle Juba,31.1,17.6
1903-08,Middle Shabelle,30.540003,18.039999
1903-08,Mudug,32.135292,0.6588235
1903-08,Nugaal,32.06,1.72
1903-08,Sanaag,31.777779,12.111111
1903-08,Sool,31.983335,3.8583333
1903-08,Togdheer,31.35,12.0199995
1903-08,Woqooyi Galbeed,33.79,16.66
1903-09,Awdal,35.225,199.875
1903-09,Bakool,32.5,11.325001
1903-09,Banadir,31.384999999999998,9.4650005
1903-09,Bari,33.754166,7.2166667
1903-09,Bay,31.850002,8.25
1903-09,Galgaduud,33.02941,6.347059
1903-09,Gedo,33.392857,4.4357142
1903-09,Hiraan,32.68182,8.845455
1903-09,Lower Juba,31.576473,10.494118
1903-09,Lower Shabelle,31.27,9.190001
1903-09,Middle Juba,32.0,7.54
1903-09,Middle Shabelle,31.5,9.74
1903-09,Mudug,33.358826,3.3764706
1903-09,Nugaal,33.41,5.7300005
1903-09,Sanaag,32.366665,19.144445
1903-09,Sool,32.891666,12.533333
1903-09,Togdheer,31.680002,63.05
1903-09,Woqooyi Galbeed,33.02,196.76
1903-10,Awdal,32.475002,25.35
1903-10,Bakool,32.2125,89.3
1903-10,Banadir,31.845001,60.4299985
1903-10,Bari,32.25,18.074999
1903-10,Bay,32.035713,69.32143
1903-10,Galgaduud,32.958824,55.423534
1903-10,Gedo,33.171425,51.778572
1903-10,Hiraan,32.70909,77.91818
1903-10,Lower Juba,32.388237,2.7764707
1903-10,Lower Shabelle,31.810001,44.600002
1903-10,Middle Juba,32.52,9.3
1903-10,Middle Shabelle,31.880001,76.259995
1903-10,Mudug,33.011765,40.311764
1903-10,Nugaal,32.5,34.030003
1903-10,Sanaag,30.194445,22.011112
1903-10,Sool,31.35,32.391666
1903-10,Togdheer,30.039999,43.29
1903-10,Woqooyi Galbeed,30.95,33.05
1903-11,Awdal,29.9,0.175
1903-11,Bakool,31.825,64.387505
1903-11,Banadir,32.0,64.175003
1903-11,Bari,30.295837,8.141666
1903-11,Bay,31.928574,63.264286
1903-11,Galgaduud,32.68235,33.105885
1903-11,Gedo,32.635715,60.31429
1903-11,Hiraan,32.554546,55.02728
1903-11,Lower Juba,33.052944,4.8647056
1903-11,Lower Shabelle,32.0,58.75
1903-11,Middle Juba,32.78,14.040001
1903-11,Middle Shabelle,32.0,69.600006
1903-11,Mudug,32.41765,26.670588
1903-11,Nugaal,31.130001,14.610001
1903-11,Sanaag,27.983334,5.766667
1903-11,Sool,29.541666,7.6
1903-11,Togdheer,28.24,8.97
1903-11,Woqooyi Galbeed,28.77,2.2600002
1903-12,Awdal,29.25,5.3
1903-12,Bakool,32.65,11.4875
1903-12,Banadir,32.22,17.8999995
1903-12,Bari,28.391668,3.7791665
1903-12,Bay,32.67857,12.071428
1903-12,Galgaduud,32.37059,10.841178
1903-12,Gedo,33.764286,14.042857
1903-12,Hiraan,32.79091,12.654547
1903-12,Lower Juba,33.21176,1.4176472
1903-12,Lower Shabelle,32.4,14.26
1903-12,Middle Juba,33.3,3.0400002
1903-12,Middle Shabelle,32.04,21.539999
1903-12,Mudug,31.470589,10.152942
1903-12,Nugaal,29.61,3.78
1903-12,Sanaag,26.41111,1.2611111
1903-12,Sool,28.158333,0.4416667
1903-12,Togdheer,27.51,0.85
1903-12,Woqooyi Galbeed,28.029999,1.5699999
1904-01,Awdal,28.275,0.77500004
1904-01,Bakool,32.975,1.6125001
1904-01,Banadir,32.385002,6.1300005
1904-01,Bari,28.533335,4.045833
1904-01,Bay,33.06429,2.664286
1904-01,Galgaduud,32.447056,4.352941
1904-01,Gedo,34.37143,3.5785716
1904-01,Hiraan,32.981823,2.8090909
1904-01,Lower Juba,33.24118,2.7705882
1904-01,Lower Shabelle,32.59,2.48
1904-01,Middle Juba,33.5,2.44
1904-01,Middle Shabelle,32.180004,9.780001
1904-01,Mudug,31.57059,3.4117649
1904-01,Nugaal,29.920002,2.3600001
1904-01,Sanaag,26.622223,1.3888888
